sample_id,cluster_label
0,0
1,1
2,2
3,0
4,4
5,4
6,4
7,3
8,1
9,2
10,1
11,3
12,2
13,1
14,3
15,1
16,0
17,2
18,2
19,3
20,3
21,1
22,1
23,4
24,3
25,4
26,3
27,0
28,1
29,4
30,2
31,1
32,2
33,3
34,4
35,2
36,2
37,3
38,1
39,2
40,4
41,3
42,4
43,2
44,2
45,4
46,3
47,3
48,2
49,4
50,3
51,4
52,1
53,4
54,1
55,1
56,0
57,1
58,4
59,3
60,4
61,2
62,0
63,1
64,2
65,1
66,3
67,0
68,3
69,3
70,3
71,1
72,2
73,2
74,1
75,4
76,4
77,2
78,2
79,3
80,4
81,0
82,2
83,1
84,4
85,1
86,2
87,1
88,1
89,2
90,1
91,3
92,1
93,1
94,1
95,3
96,1
97,3
98,0
99,0
100,3
101,1
102,1
103,0
104,1
105,4
106,2
107,1
108,0
109,2
110,4
111,1
112,1
113,0
114,2
115,2
116,4
117,1
118,3
119,1
120,3
121,4
122,1
123,3
124,0
125,3
126,2
127,1
128,1
129,3
130,2
131,1
132,0
133,1
134,4
135,4
136,1
137,0
138,0
139,2
140,1
141,2
142,2
143,1
144,0
145,2
146,1
147,1
148,1
149,0
150,1
151,3
152,1
153,2
154,0
155,3
156,2
157,1
158,1
159,1
160,4
161,2
162,0
163,0
164,4
165,1
166,1
167,3
168,3
169,2
170,1
171,1
172,1
173,3
174,3
175,1
176,1
177,1
178,1
179,0
180,1
181,4
182,3
183,3
184,2
185,4
186,2
187,1
188,4
189,2
190,4
191,1
192,1
193,4
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,2
205,3
206,1
207,4
208,0
209,2
210,3
211,2
212,0
213,0
214,2
215,3
216,1
217,4
218,2
219,4
220,0
221,4
222,2
223,1
224,1
225,2
226,4
227,1
228,4
229,1
230,1
231,3
232,3
233,1
234,3
235,0
236,1
237,1
238,4
239,0
240,4
241,1
242,0
243,2
244,0
245,1
246,4
247,0
248,1
249,4
250,1
251,2
252,1
253,1
254,1
255,2
256,0
257,2
258,3
259,0
260,4
261,0
262,4
263,0
264,2
265,2
266,4
267,2
268,1
269,1
270,1
271,1
272,3
273,0
274,1
275,1
276,0
277,2
278,4
279,0
280,0
281,4
282,1
283,1
284,3
285,0
286,1
287,4
288,3
289,3
290,0
291,2
292,4
293,4
294,2
295,1
296,2
297,4
298,4
299,2
300,1
301,2
302,1
303,2
304,2
305,2
306,2
307,1
308,1
309,1
310,0
311,1
312,2
313,3
314,0
315,4
316,2
317,4
318,1
319,1
320,1
321,1
322,1
323,0
324,0
325,3
326,2
327,0
328,3
329,1
330,3
331,0
332,1
333,1
334,4
335,1
336,1
337,1
338,4
339,4
340,0
341,2
342,1
343,1
344,2
345,3
346,1
347,0
348,3
349,0
350,0
351,0
352,4
353,3
354,1
355,0
356,1
357,2
358,4
359,1
360,2
361,1
362,0
363,0
364,3
365,2
366,1
367,4
368,0
369,0
370,1
371,2
372,0
373,3
374,1
375,2
376,1
377,0
378,1
379,0
380,3
381,1
382,1
383,3
384,4
385,4
386,1
387,4
388,4
389,1
390,0
391,1
392,2
393,1
394,2
395,4
396,4
397,0
398,4
399,1
400,3
401,1
402,1
403,4
404,2
405,2
406,1
407,2
408,0
409,4
410,0
411,1
412,3
413,0
414,2
415,2
416,1
417,2
418,4
419,1
420,1
421,2
422,3
423,2
424,1
425,4
426,1
427,4
428,4
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,4
438,1
439,2
440,1
441,1
442,4
443,2
444,0
445,2
446,1
447,0
448,1
449,1
450,4
451,0
452,2
453,1
454,3
455,1
456,1
457,2
458,3
459,0
460,2
461,3
462,1
463,1
464,4
465,1
466,3
467,1
468,0
469,1
470,1
471,0
472,2
473,1
474,2
475,1
476,3
477,4
478,1
479,1
480,3
481,0
482,4
483,2
484,0
485,1
486,1
487,1
488,3
489,3
490,2
491,0
492,1
493,3
494,4
495,1
496,0
497,1
498,4
499,2
500,4
501,0
502,1
503,1
504,1
505,4
506,0
507,1
508,4
509,2
510,2
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,3
521,4
522,3
523,3
524,1
525,1
526,1
527,3
528,4
529,4
530,1
531,1
532,4
533,3
534,4
535,0
536,3
537,4
538,4
539,3
540,1
541,3
542,2
543,0
544,2
545,2
546,4
547,2
548,4
549,1
550,4
551,2
552,0
553,1
554,4
555,1
556,4
557,1
558,1
559,2
560,0
561,4
562,1
563,3
564,3
565,1
566,1
567,1
568,1
569,3
570,2
571,2
572,1
573,1
574,1
575,3
576,4
577,2
578,3
579,4
580,1
581,1
582,1
583,4
584,2
585,3
586,1
587,0
588,1
589,1
590,4
591,0
592,2
593,2
594,2
595,1
596,1
597,3
598,1
599,0
600,1
601,3
602,1
603,2
604,2
605,4
606,4
607,0
608,0
609,0
610,1
611,1
612,4
613,1
614,0
615,4
616,1
617,0
618,3
619,1
620,0
621,0
622,3
623,0
624,4
625,1
626,1
627,0
628,0
629,3
630,3
631,4
632,3
633,4
634,1
635,1
636,0
637,3
638,1
639,0
640,2
641,2
642,1
643,0
644,1
645,0
646,3
647,1
648,3
649,2
650,2
651,2
652,0
653,1
654,3
655,2
656,4
657,2
658,2
659,4
660,2
661,4
662,2
663,4
664,3
665,3
666,0
667,3
668,1
669,2
670,1
671,4
672,1
673,2
674,1
675,4
676,4
677,1
678,4
679,1
680,1
681,3
682,0
683,1
684,1
685,0
686,1
687,4
688,1
689,1
690,1
691,2
692,1
693,2
694,4
695,1
696,4
697,2
698,2
699,3
700,0
701,4
702,4
703,3
704,1
705,4
706,2
707,1
708,1
709,1
710,1
711,4
712,2
713,2
714,0
715,1
716,2
717,4
718,2
719,4
720,0
721,4
722,3
723,3
724,2
725,1
726,4
727,4
728,4
729,1
730,1
731,0
732,1
733,0
734,2
735,4
736,4
737,2
738,1
739,1
740,2
741,0
742,3
743,3
744,2
745,1
746,1
747,1
748,2
749,1
750,0
751,3
752,1
753,4
754,0
755,2
756,2
757,2
758,0
759,1
760,1
761,1
762,4
763,0
764,3
765,0
766,4
767,1
768,1
769,1
770,0
771,2
772,1
773,0
774,1
775,4
776,1
777,1
778,1
779,1
780,2
781,1
782,2
783,3
784,1
785,1
786,3
787,2
788,3
789,2
790,0
791,0
792,2
793,4
794,1
795,3
796,4
797,1
798,0
799,1
800,3
801,1
802,1
803,2
804,1
805,2
806,0
807,2
808,0
809,2
810,3
811,0
812,1
813,1
814,2
815,1
816,1
817,0
818,1
819,0
820,2
821,1
822,3
823,1
824,4
825,1
826,4
827,1
828,2
829,3
830,3
831,1
832,3
833,1
834,4
835,0
836,1
837,1
838,4
839,0
840,1
841,2
842,1
843,0
844,2
845,4
846,0
847,1
848,1
849,3
850,1
851,1
852,4
853,2
854,4
855,1
856,0
857,2
858,0
859,1
860,2
861,1
862,4
863,1
864,0
865,0
866,2
867,4
868,1
869,1
870,0
871,0
872,4
873,2
874,2
875,0
876,2
877,2
878,2
879,1
880,1
881,1
882,0
883,1
884,4
885,4
886,1
887,1
888,4
889,1
890,4
891,1
892,2
893,1
894,1
895,3
896,1
897,0
898,1
899,0
900,1
901,0
902,1
903,4
904,0
905,1
906,0
907,2
908,1
909,2
910,2
911,2
912,0
913,3
914,2
915,1
916,1
917,1
918,1
919,1
920,3
921,0
922,0
923,1
924,0
925,0
926,4
927,1
928,2
929,1
930,1
931,3
932,1
933,4
934,4
935,3
936,0
937,4
938,4
939,4
940,2
941,4
942,2
943,2
944,0
945,1
946,2
947,0
948,1
949,2
950,4
951,0
952,0
953,2
954,0
955,1
956,2
957,2
958,2
959,0
960,1
961,0
962,1
963,2
964,0
965,0
966,3
967,3
968,4
969,2
970,0
971,1
972,3
973,1
974,2
975,3
976,2
977,1
978,3
979,3
980,1
981,2
982,1
983,0
984,3
985,1
986,1
987,4
988,4
989,0
990,4
991,4
992,0
993,1
994,1
995,3
996,1
997,1
998,4
999,1
1000,1
1001,4
1002,1
1003,4
1004,1
1005,1
1006,1
1007,4
1008,1
1009,3
1010,4
1011,3
1012,2
1013,4
1014,2
1015,4
1016,2
1017,4
1018,2
1019,0
1020,1
1021,1
1022,3
1023,1
1024,3
1025,4
1026,0
1027,3
1028,1
1029,4
1030,3
1031,2
1032,1
1033,4
1034,1
1035,4
1036,0
1037,1
1038,1
1039,3
1040,1
1041,1
1042,1
1043,0
1044,0
1045,4
1046,4
1047,1
1048,3
1049,2
1050,2
1051,4
1052,3
1053,0
1054,2
1055,1
1056,0
1057,1
1058,1
1059,1
